Name,url
Romelu Lukaku,/player/192505/romelu-lukaku/
Ciro Immobile,/player/192387/ciro-immobile/
Alex Sandro,/player/191043/alex-sandro/
Thomas Müller,/player/189596/thomas-m%C3%BCller/
Azpilicueta,/player/184432/azpilicueta/
Leonardo Bonucci,/player/184344/leonardo-bonucci/
Arturo Vidal,/player/181872/arturo-vidal/
Miralem Pjanić,/player/180206/miralem-pjani%C4%87/
Radja Nainggolan,/player/178518/radja-nainggolan/
Jan Vertonghen,/player/172871/jan-vertonghen/
Ivan Rakitić,/player/168651/ivan-rakiti%C4%87/
Filipe Luís,/player/164169/filipe-lu%C3%ADs/
Zlatan Ibrahimović,/player/41236/zlatan-ibrahimovi%C4%87/
Leroy Sané,/player/222492/leroy-san%C3%A9/
Ederson,/player/210257/ederson/
Yannick Carrasco,/player/208418/yannick-carrasco/
Raheem Sterling,/player/202652/raheem-sterling/
Roberto Firmino,/player/201942/roberto-firmino/
Raphaël Varane,/player/201535/rapha%C3%ABl-varane/
Kalidou Koulibaly,/player/201024/kalidou-koulibaly/
David Alaba,/player/197445/david-alaba/
Koke,/player/193747/koke/
Keylor Navas,/player/193041/keylor-navas/
Kostas Manolas,/player/192774/kostas-manolas/
Bernd Leno,/player/192563/bernd-leno/
Nicolás Otamendi,/player/192366/nicol%C3%A1s-otamendi/
Nemanja Matić,/player/191202/nemanja-mati%C4%87/
Marco Reus,/player/188350/marco-reus/
İlkay Gündoğan,/player/186942/ilkay-g%C3%BCndo%C4%9Fan/
Toby Alderweireld,/player/184087/toby-alderweireld/
Ivan Perišić,/player/181458/ivan-peri%C5%A1i%C4%87/
Edin Džeko,/player/180930/edin-d%C5%BEeko/
Diego Costa,/player/179844/diego-costa/
Medhi Benatia,/player/177509/medhi-benatia/
Sokratis,/player/172879/sokratis/
Blaise Matuidi,/player/170890/blaise-matuidi/
Miranda,/player/168609/miranda/
Falcao,/player/167397/falcao/
Karim Benzema,/player/165153/karim-benzema/
Cesc Fàbregas,/player/162895/cesc-f%C3%A0bregas/
Franck Ribéry,/player/156616/franck-rib%C3%A9ry/
Vincent Kompany,/player/139720/vincent-kompany/
Fernandinho,/player/135507/fernandinho/
Pepe,/player/120533/pepe/
Kylian Mbappé,/player/231747/kylian-mbapp%C3%A9/
Eric Bailly,/player/225508/eric-bailly/
Marco Asensio,/player/220834/marco-asensio/
Bernardo Silva,/player/218667/bernardo-silva/
Nabil Fekir,/player/216594/nabil-fekir/
Alisson,/player/212831/alisson/
Joshua Kimmich,/player/212622/joshua-kimmich/
Niklas Süle,/player/212190/niklas-s%C3%BCle/
Dele Alli,/player/211117/dele-alli/
Fabinho,/player/209499/fabinho/
Sadio Mané,/player/208722/sadio-man%C3%A9/
Saúl,/player/208421/sa%C3%BAl/
Marquinhos,/player/207865/marquinhos/
Samuel Umtiti,/player/205600/samuel-umtiti/
Carvajal,/player/204963/carvajal/
Riyad Mahrez,/player/204485/riyad-mahrez/
Virgil van Dijk,/player/203376/virgil-van-dijk/
Julian Draxler,/player/202166/julian-draxler/
Morata,/player/201153/morata/
Timo Horn,/player/200316/timo-horn/
Heung Min Son,/player/200104/heung-min-son/
Anthony Lopes,/player/199482/anthony-lopes/
Lionel Messi,/player/158023/lionel-messi/
Cristiano Ronaldo,/player/20801/cristiano-ronaldo/
Neymar,/player/190871/neymar/
Luis Suárez,/player/176580/luis-su%C3%A1rez/
Manuel Neuer,/player/167495/manuel-neuer/
De Gea,/player/193080/de-gea/
Kevin De Bruyne,/player/192985/kevin-de-bruyne/
Robert Lewandowski,/player/188545/robert-lewandowski/
Eden Hazard,/player/183277/eden-hazard/
Toni Kroos,/player/182521/toni-kroos/
Mats Hummels,/player/178603/mats-hummels/
Gonzalo Higuaín,/player/167664/gonzalo-higua%C3%ADn/
Sergio Ramos,/player/155862/sergio-ramos/
Paulo Dybala,/player/211110/paulo-dybala/
Jan Oblak,/player/200389/jan-oblak/
Thibaut Courtois,/player/192119/thibaut-courtois/
Luka Modrić,/player/177003/luka-modri%C4%87/
David Silva,/player/168542/david-silva/
Sergio Agüero,/player/153079/sergio-ag%C3%BCero/
Giorgio Chiellini,/player/138956/giorgio-chiellini/
Gianluigi Buffon,/player/1179/gianluigi-buffon/
N'Golo Kanté,/player/215914/ngolo-kant%C3%A9/
Harry Kane,/player/202126/harry-kane/
Paul Pogba,/player/195864/paul-pogba/
Antoine Griezmann,/player/194765/antoine-griezmann/
Christian Eriksen,/player/190460/christian-eriksen/
Thiago,/player/189509/thiago/
Alexis Sánchez,/player/184941/alexis-s%C3%A1nchez/
Diego Godín,/player/182493/diego-god%C3%ADn/
Edinson Cavani,/player/179813/edinson-cavani/
Gareth Bale,/player/173731/gareth-bale/
Hugo Lloris,/player/167948/hugo-lloris/
Samir Handanovič,/player/162835/samir-handanovi%C4%8D/
Mohamed Salah,/player/209331/mohamed-salah/
Mauro Icardi,/player/201399/mauro-icardi/
Marco Verratti,/player/199556/marco-verratti/
James Rodríguez,/player/198710/james-rodr%C3%ADguez/
Lorenzo Insigne,/player/198219/lorenzo-insigne/
Marc-André ter Stegen,/player/192448/marc-andr%C3%A9-ter-stegen/
Sergio Busquets,/player/189511/sergio-busquets/
Jordi Alba,/player/189332/jordi-alba/
Coutinho,/player/189242/coutinho/
